qa_index,query,ground_truth_answer,answer_type,confidence_hint,original_chunk_ids,final_chunk_ids,top_5_candidates,expansion_count
114,How does my child's development happen? Is it just about getting older?,"A child's development is the result of the interaction between two key forces: maturation and learning. Maturation is the natural unfolding of characteristics based on their genetic makeup, while learning refers to the lasting changes that happen as a result of their experiences and practice.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_113,11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_22 (sim: 0.584); 1. CHDV-100-OER-Textbook-updatedJuly2020_334 (sim: 0.577); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_113 (sim: 0.574); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_50 (sim: 0.566); 1. CHDV-100-OER-Textbook-updatedJuly2020_297 (sim: 0.557),0
25,How is a baby's sex determined at conception?,"A baby's sex is determined by the sex chromosomes received from the parents. Of the 23 pairs of chromosomes created at conception, 22 pairs are autosomes. The 23rd pair are the sex chromosomes. If a child receives the combination of XY, the child will be genetically male. If the child receives the combination XX, the child will be genetically female.",factoid,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,1. CHDV-100-OER-Textbook-updatedJuly2020_53,1. CHDV-100-OER-Textbook-updatedJuly2020_60 (sim: 0.425); 1. CHDV-100-OER-Textbook-updatedJuly2020_53 (sim: 0.414); 1. CHDV-100-OER-Textbook-updatedJuly2020_536 (sim: 0.403); 1. CHDV-100-OER-Textbook-updatedJuly2020_77 (sim: 0.389); 1. CHDV-100-OER-Textbook-updatedJuly2020_57 (sim: 0.381),0
281,I tried using an empathetic phrase like 'what a bummer' but my child got upset. What went wrong?,"True empathetic statements come from the heart, not just the head. If you use the right words but your tone is cold, angry, or sarcastic, your old disappointment leaks through and the message is lost. The delivery and the genuine feeling behind it make all the difference. Try putting an arm on their shoulder and genuinely connecting with their feeling, rather than just reciting a phrase.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,25. Parenting20Love20Logic_20Children2020PDFDrive.com29_131,25. Parenting20Love20Logic_20Children2020PDFDrive.com29_131 (sim: 0.524); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_125 (sim: 0.497); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_211 (sim: 0.491); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_210 (sim: 0.488); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_114 (sim: 0.479),0
250,What is the 'Love and Logic' approach to parenting?,"The 'Love and Logic' approach is centered on a powerful kind of love that is not permissive and doesn't tolerate disrespect. It's about loving your children enough to allow them to make mistakes and learn from the natural, logical consequences. This process is most effective when parents show empathy and compassionate understanding for their child's feelings about the consequences of their choices.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,25. Parenting20Love20Logic_20Children2020PDFDrive.com29_15,25. Parenting20Love20Logic_20Children2020PDFDrive.com29_15 (sim: 0.711); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_16 (sim: 0.701); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_26 (sim: 0.693); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_129 (sim: 0.664); 25. Parenting20Love20Logic_20Children2020PDFDrive.com29_136 (sim: 0.662),0
228,What are some good activities to help my 3 to 5-year-old develop social skills?,"Playing board games that involve taking turns is a great way to practice sharing. You can also read books about different feelings to help them build empathy. Encouraging pretend play, giving them choices, and having them help with simple chores like setting the table are all wonderful ways to foster their social and emotional development.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,23. FECP-M3-Understanding-SE-Development-in-Young-Children_12,23. FECP-M3-Understanding-SE-Development-in-Young-Children_12 (sim: 0.740); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_8 (sim: 0.636); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_6 (sim: 0.614); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_16 (sim: 0.597); 23. FECP-M3-Understanding-SE-Development-in-Young-Children_13 (sim: 0.597),0
142,What are the main goals of an Early Childhood Education program?,"The main objectives are to help a child's all-around development. This includes developing healthy habits and personal skills like dressing oneself, fostering good social attitudes, helping children understand and control their emotions, sharpening their aesthetic sense, encouraging curiosity about their environment, and building the confidence for self-expression.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,20. Earlychildhood_24,36. 1642572098-preschool_pdf_27 (sim: 0.645); 1. CHDV-100-OER-Textbook-updatedJuly2020_278 (sim: 0.628); 21. Paper_19_5 (sim: 0.624); 21. Paper_19_0 (sim: 0.609); 20. Earlychildhood_20 (sim: 0.608),0
104,How does getting involved in my child's school help them?,"Evidence shows that when you are involved in your child's education, they are likely to do better both academically and socially. Children tend to have fewer problems at school when their parents build a good relationship with teachers and actively support their child's learning.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,3. L-G-0011992329-0035354927_26,3. L-G-0011992329-0035354927_26 (sim: 0.668); 26. parenting-handbook-Final-Eversion_85 (sim: 0.534); 36. 1642572098-preschool_pdf_97 (sim: 0.534); 21. Paper_19_175 (sim: 0.533); 31. ece127infanttoddlerdevelopmentandcare_606 (sim: 0.531),0
89,What does it mean for a teen to be in 'identity foreclosure'?,"Identity foreclosure is one of four identity statuses. It describes a teen who has made a commitment to an identity without having explored other options. This individual has not engaged in identity experimentation and has instead established an identity based on the choices or values of others, such as their parents.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,1. CHDV-100-OER-Textbook-updatedJuly2020_529,1. CHDV-100-OER-Textbook-updatedJuly2020_529 (sim: 0.592); 1. CHDV-100-OER-Textbook-updatedJuly2020_528 (sim: 0.560); 1. CHDV-100-OER-Textbook-updatedJuly2020_527 (sim: 0.534); 1. CHDV-100-OER-Textbook-updatedJuly2020_549 (sim: 0.531); 1. CHDV-100-OER-Textbook-updatedJuly2020_533 (sim: 0.494),0
432,What can schools do to help children have a smooth transition to primary school?,"Schools can organize visits for preschoolers to the primary classrooms so they get familiar with the new environment. It also helps when early primary classes have a similar physical setup to preschool, with activity corners and children's work displayed. Continuing with play-based activities in the early primary grades provides valuable continuity for a smoother adjustment.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,36. 1642572098-preschool_pdf_103,36. 1642572098-preschool_pdf_103 (sim: 0.713); 36. 1642572098-preschool_pdf_101 (sim: 0.706); 21. Paper_19_4 (sim: 0.566); 20. Earlychildhood_22 (sim: 0.563); 51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_29 (sim: 0.550),0
32,What is the difference between identical and fraternal twins?,"Identical, or monozygotic, twins happen when a fertilized egg splits apart in the first two weeks, creating two separate but genetically identical babies. Fraternal, or dizygotic, twins happen when two separate eggs are released and fertilized by two separate sperm. These twins share the same amount of genetic material as any two siblings from the same parents.",paraphrase,high,1. CHDV-100-OER-Textbook-updatedJuly2020_4,1. CHDV-100-OER-Textbook-updatedJuly2020_63,1. CHDV-100-OER-Textbook-updatedJuly2020_63 (sim: 0.582); 1. CHDV-100-OER-Textbook-updatedJuly2020_64 (sim: 0.426); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_76 (sim: 0.418); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_74 (sim: 0.396); 11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_75 (sim: 0.380),0
