query_id,config_name,query_text,ground_truth_chunks,retrieved_chunks,hit_at_1,hit_at_3,hit_at_5,mrr,precision_at_1,precision_at_3,precision_at_5,execution_time,openai_calls,cohere_calls
1,fast_baseline,What are the main areas of a child's growth and development?,['1. CHDV-100-OER-Textbook-updatedJuly2020_4'],"['38. A Good Start - Early Childhood Development Booklet_3', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_133', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_113', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_310', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_122']",0,0,0,0,0,0,0,2.443286419,2,0
2,fast_baseline,What influences a child's development more: their genes or their environment?,['1. CHDV-100-OER-Textbook-updatedJuly2020_5'],"['11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_74', '52. Behavior-Management-in-Dentistry-for-Children_93', '1. CHDV-100-OER-Textbook-updatedJuly2020_52', '51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_7', '1. CHDV-100-OER-Textbook-updatedJuly2020_8']",0,0,0,0,0,0,0,0.977101803,2,0
3,fast_baseline,What are the different stages of child development from birth to adulthood?,['1. CHDV-100-OER-Textbook-updatedJuly2020_6'],"['11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_19', '21. Paper_19_30', '1. CHDV-100-OER-Textbook-updatedJuly2020_6', '31. ece127infanttoddlerdevelopmentandcare_509', '21. Paper_19_31']",0,1,1,0.333333333,0,0.333333333,0.2,0.930587769,2,0
4,fast_baseline,What's a more effective way to encourage good behavior: reinforcement or punishment?,['1. CHDV-100-OER-Textbook-updatedJuly2020_32'],"['1. CHDV-100-OER-Textbook-updatedJuly2020_32', '52. Behavior-Management-in-Dentistry-for-Children_186', '52. Behavior-Management-in-Dentistry-for-Children_183', '51. practical-approaches-to-behaviour-management-in-the-classroom-a-handbook-for-classroom-teachers-in-primary-schools_23', '26. parenting-handbook-Final-Eversion_72']",1,1,1,1,1,0.333333333,0.2,1.501478195,2,0
5,fast_baseline,What are the different parenting styles?,['1. CHDV-100-OER-Textbook-updatedJuly2020_311'],"['3. L-G-0011992329-0035354927_16', '52. Behavior-Management-in-Dentistry-for-Children_96', '1. CHDV-100-OER-Textbook-updatedJuly2020_311', '31. ece127infanttoddlerdevelopmentandcare_592', '31. ece127infanttoddlerdevelopmentandcare_595']",0,1,1,0.333333333,0,0.333333333,0.2,1.406259775,2,0
6,fast_baseline,What is the most significant factor I can influence for my child's development?,['3. L-G-0011992329-0035354927_14'],"['11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_93', '3. L-G-0011992329-0035354927_8', '31. ece127infanttoddlerdevelopmentandcare_583', '31. ece127infanttoddlerdevelopmentandcare_588', '23. FECP-M3-Understanding-SE-Development-in-Young-Children_19']",0,0,0,0,0,0,0,0.959704876,2,0
7,fast_baseline,What are my most basic responsibilities as a parent?,['3. L-G-0011992329-0035354927_19'],"['3. L-G-0011992329-0035354927_28', '3. L-G-0011992329-0035354927_19', '3. L-G-0011992329-0035354927_18', '31. ece127infanttoddlerdevelopmentandcare_589', '3. L-G-0011992329-0035354927_31']",0,1,1,0.5,0,0.333333333,0.2,0.946479559,2,0
8,fast_baseline,Why is setting boundaries important for my child?,['3. L-G-0011992329-0035354927_23'],"['3. L-G-0011992329-0035354927_23', '25. Parenting20Love20Logic_20Children2020PDFDrive.com29_76', '25. Parenting20Love20Logic_20Children2020PDFDrive.com29_75', '25. Parenting20Love20Logic_20Children2020PDFDrive.com29_79', '25. Parenting20Love20Logic_20Children2020PDFDrive.com29_88']",1,1,1,1,1,0.333333333,0.2,0.884546995,2,0
9,fast_baseline,What is a 'secure attachment' and why is it important?,['3. L-G-0011992329-0035354927_36'],"['49. parent child interaction_3', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_482', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_483', '52. Behavior-Management-in-Dentistry-for-Children_91', '31. ece127infanttoddlerdevelopmentandcare_667']",0,0,0,0.071428571,0,0,0,1.041951656,2,0
10,fast_baseline,What is the difference between my child's growth and their development?,['11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_11'],"['11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_49', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_113', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_14', '31. ece127infanttoddlerdevelopmentandcare_78', '11. PG_M.A._Child Care and Education_312 11_Principles of Child Development_16']",0,0,0,0.166666667,0,0,0,1.325784445,2,0
